retriever,modelo,criterio,modo,n,parou_%,censurado_dmax,censurado_tokens,D_iter_medio,D_iter_mediana,D_chunk_medio,T_total_medio,n_inferencias_media,conformidade_json_%,json_estrito_%,max_tokens_%,S_f1_medio,S_p_medio,S_r_medio,razao_compr_mediana,tempo_medio_s,vram_pico_gb,parou_no_gold_%
e5small,gpt-oss:20b,json,fixo50,192,96.35416666666667,7,0,1.0,1.0,38.513513513513516,31108.619791666668,1.0,98.95833333333333,95.83333333333333,2.0833333333333335,0.750958704855293,0.7454175661938885,0.7681213915348053,1.1236111111111111,20.96176401649912,16.66134786605835,0.0
e5small,gpt-oss:20b,json,incremental,192,99.47916666666667,1,0,2.649214659685864,1.0,2.5392670157068062,20410.776041666668,2.8958333333333335,99.82014388489209,99.64028776978417,0.17985611510791366,0.7368413642980158,0.757247889880091,0.7287921175981561,0.9038461538461539,24.449460849165916,16.475808143615723,67.56756756756756
e5small,gpt-oss:20b,json,iterativo,192,96.35416666666667,7,0,2.4702702702702704,1.0,1.0,5769.208333333333,4.203125,100.0,99.87608426270137,0.0,0.7439616915459434,0.7712732094029585,0.7283971176172296,0.8021739130434783,22.745339936266344,13.446337223052979,68.91891891891892
e5small,gpt-oss:20b,regex,fixo50,192,96.35416666666667,7,0,1.0,1.0,38.486486486486484,31165.947916666668,1.0,,,7.8125,0.6938431328162551,0.6490823496133089,0.756542272400111,1.8714439076757916,26.610028988371294,16.660601139068604,0.0
e5small,gpt-oss:20b,regex,incremental,192,100.0,0,0,1.8489583333333333,1.0,1.8020833333333333,7975.744791666667,1.8489583333333333,,,1.1267605633802817,0.7032148377038538,0.6815308259489635,0.7361335665918887,1.2043956043956043,19.01988565052549,15.086289882659912,60.810810810810814
e5small,gpt-oss:20b,regex,iterativo,192,100.0,0,0,1.8125,1.0,1.0,2339.109375,1.8125,,,0.5747126436781609,0.7139348623653253,0.6955626616254449,0.7431372433590392,1.1666666666666667,16.08464578787486,13.43836259841919,63.51351351351351
e5small,mistral-small3.1:latest,json,fixo50,192,93.75,12,0,1.0,1.0,33.522222222222226,31915.5,1.0,100.0,96.35416666666667,2.6041666666666665,0.7800640313265225,0.806166562406967,0.7668765235381821,1.0,16.765342610577743,25.697786331176758,0.0
e5small,mistral-small3.1:latest,json,incremental,192,95.3125,2,7,3.251366120218579,1.0,3.0327868852459017,55143.046875,5.015625,100.0,99.68847352024922,0.10384215991692627,0.754190809559077,0.7952109787923595,0.7267954223789275,0.8008810572687225,23.65961525713404,25.6180477142334,70.27027027027027
e5small,mistral-small3.1:latest,json,iterativo,192,90.10416666666667,19,0,3.184971098265896,1.0,1.0,12416.1875,7.817708333333333,100.0,99.93337774816789,0.0,0.7463429941174885,0.7908115646181008,0.7159255952574313,0.7211479871633424,14.702004653712114,15.58999252319336,70.27027027027027
e5small,mistral-small3.1:latest,regex,fixo50,192,97.39583333333333,5,0,1.0,1.0,33.850267379679146,31965.119791666668,1.0,,,5.729166666666667,0.7672205790877342,0.7367822048254311,0.8091251052295169,1.4226475279106858,20.787051973243553,25.697834968566895,0.0
e5small,mistral-small3.1:latest,regex,incremental,192,97.39583333333333,1,4,3.176470588235294,1.0,3.0,41280.880208333336,4.104166666666667,,,0.5076142131979695,0.7570396233350039,0.7399506831231216,0.7834927844814956,1.2222782258064515,23.2348473208646,25.584341049194336,72.97297297297297
e5small,mistral-small3.1:latest,regex,iterativo,192,93.75,12,0,2.8,1.0,1.0,9091.369791666666,5.75,,,0.2717391304347826,0.7603820371441543,0.7513780235312879,0.7784342554708322,1.1094497607655502,16.601458627730608,15.561139106750488,71.62162162162163
e5small,qwen3.8:27b,json,fixo50,192,90.625,18,0,1.0,1.0,37.701149425287355,31331.171875,1.0,100.0,100.0,0.0,0.795998135736833,0.8039849965522686,0.7963912816097339,1.0,127.12267200276256,28.586874961853027,0.0
e5small,qwen3.8:27b,json,incremental,192,91.66666666666667,5,11,2.7443181818181817,1.0,2.5738636363636362,77381.98958333333,6.140625,100.0,100.0,0.0,0.7771803997457027,0.8018056383977333,0.7615608569855491,0.8975308641975308,91.36393433436751,28.58646535873413,72.97297297297297
e5small,qwen3.8:27b,json,iterativo,192,89.58333333333333,20,0,3.2209302325581395,1.0,1.0,10906.671875,8.09375,100.0,100.0,0.0,0.7676963219419122,0.7999637258859972,0.7458722291824719,0.8509259259259259,30.891223025818665,18.69128179550171,71.62162162162163
e5small,qwen3.8:27b,regex,fixo50,192,94.27083333333333,11,0,1.0,1.0,37.67955801104972,31462.03125,1.0,,,7.291666666666667,0.7434710821447273,0.6947912083317836,0.8090621593097845,1.9845132743362832,140.59303968648115,28.586812496185303,0.0
e5small,qwen3.8:27b,regex,incremental,192,94.79166666666667,3,7,2.6043956043956045,1.0,2.456043956043956,54759.364583333336,4.791666666666667,,,0.21739130434782608,0.7437577559612691,0.7151556950993836,0.7833991553634405,1.3944444444444444,125.33601684992512,28.586416244506836,70.27027027027027
e5small,qwen3.8:27b,regex,iterativo,192,93.75,12,0,2.9611111111111112,1.0,1.0,7558.578125,5.901041666666667,,,0.088261253309797,0.7439370156886677,0.7211911350799104,0.7760311754730841,1.2857628270472308,47.514845691621304,18.66315746307373,70.27027027027027
