retriever,modelo,criterio,n,acaso_%,min_entropia_e_gold_% [SECUNDÁRIA],p_estratif [item 21b],P@1_retriever_%,concord_D_entropia_%,acertou_chunk_gold_%,n_pos_validas_media,D_embaralhado_mediana,conformidade_%,janela_alinhada_%,S_f1_medio
qwen3,gpt-oss:20b,json,74,11.216216216216218,1.3513513513513513,0.8672066396680166,79.72972972972973,0.0,54.054054054054056,3.5,2.0,100.0,100.0,0.7453467551920865
qwen3,gpt-oss:20b,regex,74,11.216216216216218,33.78378378378378,4.999750012499375e-05,79.72972972972973,20.27027027027027,40.54054054054054,4.1891891891891895,2.0,,,0.658027433060311
qwen3,mistral-small3.1:latest,json,74,11.216216216216218,1.3513513513513513,0.9047047647617619,79.72972972972973,2.7027027027027026,62.16216216216216,2.189189189189189,3.0,100.0,100.0,0.7968503828789737
qwen3,mistral-small3.1:latest,regex,74,11.216216216216218,43.24324324324324,0.0010499475026248687,79.72972972972973,36.486486486486484,55.4054054054054,2.4594594594594597,3.0,,,0.7190882088364782
qwen3,qwen3.8:27b,json,74,11.216216216216218,0.0,1.0,79.72972972972973,0.0,74.32432432432432,1.3243243243243243,4.0,100.0,100.0,0.8049589878803974
qwen3,qwen3.8:27b,regex,74,11.216216216216218,66.21621621621621,4.999750012499375e-05,79.72972972972973,39.189189189189186,62.16216216216216,2.0945945945945947,3.0,,,0.7289423725089511
