retriever,modelo,n_pareado_D,so_regex_parou,so_json_parou,D_regex,D_json,delta_D,D_igual_%,V_regex,V_json,acertou_gold_regex_%,acertou_gold_json_%
e5small,gpt-oss:20b,71,2,1,3.3380281690140845,3.8028169014084505,0.4647887323943662,80.28169014084507,2.581081081081081,2.22972972972973,59.45945945945946,68.91891891891892
e5small,mistral-small3.1:latest,68,2,2,3.926470588235294,4.132352941176471,0.20588235294117646,91.17647058823529,1.7027027027027026,1.6756756756756757,71.62162162162163,70.27027027027027
e5small,qwen3.8:27b,66,5,0,4.212121212121212,4.348484848484849,0.13636363636363635,92.42424242424242,1.6081081081081081,1.162162162162162,70.27027027027027,71.62162162162163
