retriever,modelo,criterio,auc,sentido,teto_recusa,piso_valida,separacao_total,argmin_e_recusa_%,n_recusas,n_validas,n_perguntas
qwen3,gpt-oss:20b,json,0.987139196441522,recusa_menor,0.0014361295039861943,0.00012776701796610724,False,94.5945945945946,481,258,74
qwen3,gpt-oss:20b,regex,0.5976219054763691,recusa_menor,0.5701812752038475,0.03702226999712366,False,45.94594594594595,430,310,74
qwen3,mistral-small3.1:latest,json,0.9273783587509078,recusa_menor,0.3084886094200721,0.004584755574614974,False,95.94594594594594,578,162,74
qwen3,mistral-small3.1:latest,regex,0.38026310606955765,valida_menor,0.7862008094627526,0.03025015602761414,False,41.891891891891895,558,182,74
qwen3,qwen3.8:27b,json,0.9636022633352407,recusa_menor,0.20355393892386928,0.007486306118607899,False,100.0,642,98,74
qwen3,qwen3.8:27b,regex,0.2780259167355942,valida_menor,0.8354648320819251,0.04856095826398814,False,24.324324324324326,585,155,74
