retriever,modelo,n_pareado_D,so_regex_parou,so_json_parou,D_regex,D_json,delta_D,D_igual_%,V_regex,V_json,acertou_gold_regex_%,acertou_gold_json_%
qwen3,gpt-oss:20b,71,1,2,2.8028169014084505,3.3380281690140845,0.5352112676056338,76.05633802816901,4.1891891891891895,3.5,40.54054054054054,54.054054054054056
qwen3,mistral-small3.1:latest,69,1,2,3.4347826086956523,3.869565217391304,0.43478260869565216,81.15942028985508,2.4594594594594597,2.189189189189189,55.4054054054054,62.16216216216216
qwen3,qwen3.8:27b,66,6,0,3.9393939393939394,4.666666666666667,0.7272727272727273,74.24242424242425,2.0945945945945947,1.3243243243243243,62.16216216216216,74.32432432432432
