retriever,modelo,criterio,n_perguntas,posto_obs,argmin_obs_%,posto_nula_ingenua,p_posto_ingenua,p_argmin_ingenua,posto_nula_estratif,p_posto_estratif,p_argmin_estratif,restrito_obs_%,restrito_nula_%,V_igual_1
qwen3,gpt-oss:20b,json,74,7.648648648648648,1.3513513513513513,5.272656756756756,1.0,0.99990000499975,8.038687162162162,0.01694915254237288,0.8672066396680166,57.534246575342465,45.98119156338335,22
qwen3,gpt-oss:20b,regex,74,4.5,33.78378378378378,5.277569594594595,0.00904954752262387,4.999750012499375e-05,5.508019594594595,9.99950002499875e-05,4.999750012499375e-05,56.94444444444444,35.24250440917107,10
qwen3,mistral-small3.1:latest,json,74,8.445945945945946,1.3513513513513513,5.27850945945946,1.0,0.999850007499625,8.083755405405405,0.9877006149692515,0.9047047647617619,63.38028169014085,60.67460317460317,32
qwen3,mistral-small3.1:latest,regex,74,3.418918918918919,43.24324324324324,5.2794783783783785,4.999750012499375e-05,4.999750012499375e-05,3.9434972972972973,0.007749612519374031,0.0010499475026248687,77.14285714285715,56.255668934240376,25
qwen3,qwen3.8:27b,json,74,9.094594594594595,0.0,5.276114189189189,1.0,1.0,8.484685810810811,1.0,1.0,81.81818181818183,78.09343434343434,47
qwen3,qwen3.8:27b,regex,74,2.3783783783783785,66.21621621621621,5.277030405405405,4.999750012499375e-05,4.999750012499375e-05,3.2687391891891893,4.999750012499375e-05,4.999750012499375e-05,80.55555555555556,60.25462962962963,32
